crop,issue_type,issue_id,symptoms,first_action,organic_option
cotton,pest,aphids,Typical aphids signs on cotton,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cotton,pest,whitefly,Typical whitefly signs on cotton,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cotton,pest,bollworm,Typical bollworm signs on cotton,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cotton,pest,thrips,Typical thrips signs on cotton,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cotton,disease,leaf_spot,Typical leaf_spot signs on cotton,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cotton,disease,rust,Typical rust signs on cotton,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
cotton,disease,blast,Typical blast signs on cotton,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
wheat,pest,aphids,Typical aphids signs on wheat,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
wheat,pest,whitefly,Typical whitefly signs on wheat,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
wheat,pest,bollworm,Typical bollworm signs on wheat,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
wheat,pest,thrips,Typical thrips signs on wheat,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
wheat,disease,leaf_spot,Typical leaf_spot signs on wheat,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
wheat,disease,rust,Typical rust signs on wheat,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
wheat,disease,blast,Typical blast signs on wheat,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
paddy,pest,aphids,Typical aphids signs on paddy,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
paddy,pest,whitefly,Typical whitefly signs on paddy,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
paddy,pest,bollworm,Typical bollworm signs on paddy,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
paddy,pest,thrips,Typical thrips signs on paddy,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
paddy,disease,leaf_spot,Typical leaf_spot signs on paddy,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
paddy,disease,rust,Typical rust signs on paddy,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
paddy,disease,blast,Typical blast signs on paddy,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
paddy,pest,aphids,Typical aphids signs on paddy,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
paddy,pest,whitefly,Typical whitefly signs on paddy,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
paddy,pest,bollworm,Typical bollworm signs on paddy,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
paddy,pest,thrips,Typical thrips signs on paddy,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
paddy,disease,leaf_spot,Typical leaf_spot signs on paddy,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
paddy,disease,rust,Typical rust signs on paddy,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
paddy,disease,blast,Typical blast signs on paddy,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
tomato,pest,aphids,Typical aphids signs on tomato,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
tomato,pest,whitefly,Typical whitefly signs on tomato,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
tomato,pest,bollworm,Typical bollworm signs on tomato,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
tomato,pest,thrips,Typical thrips signs on tomato,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
tomato,disease,leaf_spot,Typical leaf_spot signs on tomato,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
tomato,disease,rust,Typical rust signs on tomato,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
tomato,disease,blast,Typical blast signs on tomato,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
soybean,pest,aphids,Typical aphids signs on soybean,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
soybean,pest,whitefly,Typical whitefly signs on soybean,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
soybean,pest,bollworm,Typical bollworm signs on soybean,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
soybean,pest,thrips,Typical thrips signs on soybean,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
soybean,disease,leaf_spot,Typical leaf_spot signs on soybean,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
soybean,disease,rust,Typical rust signs on soybean,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
soybean,disease,blast,Typical blast signs on soybean,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
maize,pest,aphids,Typical aphids signs on maize,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
maize,pest,whitefly,Typical whitefly signs on maize,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
maize,pest,bollworm,Typical bollworm signs on maize,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
maize,pest,thrips,Typical thrips signs on maize,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
maize,disease,leaf_spot,Typical leaf_spot signs on maize,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
maize,disease,rust,Typical rust signs on maize,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
maize,disease,blast,Typical blast signs on maize,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
maize,pest,aphids,Typical aphids signs on maize,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
maize,pest,whitefly,Typical whitefly signs on maize,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
maize,pest,bollworm,Typical bollworm signs on maize,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
maize,pest,thrips,Typical thrips signs on maize,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
maize,disease,leaf_spot,Typical leaf_spot signs on maize,Scout and confirm; use economic threshold before spray,Neem oil / biocontrol where suitable
